# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)"
69 2 1.64688 0.00000
69 3 3.02895 0.00002
69 4 7.27725 0.00009
69 5 7.75644 0.00014
69 6 16.08192 0.19517
69 7 18.25448 0.29023
69 8 19.62660 0.20393
69 9 19.80123 0.21420
69 10 19.98704 0.20312
69 11 21.43381 0.11602
69 12 26.71909 0.73946
70 1 1.65532 0.00000
70 2 1.68580 0.00000
70 3 3.09710 0.00002
70 4 7.27081 0.00010
70 5 7.74802 0.00014
70 6 16.04798 0.19901
70 7 18.33372 0.28684
70 8 19.62699 0.20363
70 9 19.80210 0.21436
70 10 19.98608 0.20326
70 11 21.45699 0.12860
70 12 26.68411 0.74966
71 1 1.73973 0.00000
71 2 1.79709 0.00000
71 3 3.27457 0.00002
71 4 7.25147 0.00010
71 5 7.72382 0.00014
71 6 15.94797 0.18443
71 7 18.53281 0.28081
71 8 19.62816 0.20390
71 9 19.80450 0.21507
71 10 19.98324 0.20386
71 11 21.52495 0.14068
71 12 26.59153 0.77493
72 1 1.95239 0.00000
72 2 1.96737 0.00000
72 3 3.52487 0.00003
72 4 7.21915 0.00010
72 5 7.68575 0.00015
72 6 15.78668 0.15520
72 7 18.77510 0.27046
72 8 19.63017 0.20495
72 9 19.80807 0.21871
72 10 19.97853 0.20496
72 11 21.63335 0.11125
72 12 26.46727 0.82308
73 1 2.18118 0.00000
73 2 2.26581 0.00000
73 3 3.83638 0.00004
73 4 7.17373 0.00011
73 5 7.63502 0.00015
73 6 15.57074 0.13123
73 7 19.00309 0.25843
73 8 19.63311 0.20632
73 9 19.81247 0.21889
73 10 19.97199 0.20694
73 11 21.77614 0.10864
73 12 26.33272 0.82561
74 1 2.42492 0.00000
74 2 2.62090 0.00000
74 3 4.20990 0.00006
74 4 7.11509 0.00011
74 5 7.57186 0.00015
74 6 15.30725 0.11707
74 7 19.19277 0.24586
74 8 19.63701 0.20659
74 9 19.81739 0.21748
74 10 19.96366 0.20709
74 11 21.94655 0.11579
74 12 26.19847 0.80066
75 1 2.68805 0.00000
75 2 2.97613 0.00000
75 3 4.64346 0.00010
75 4 7.04311 0.00012
75 5 7.49595 0.00015
75 6 15.00287 0.13145
75 7 19.34132 0.23453
75 8 19.64204 0.20690
75 9 19.82258 0.21613
75 10 19.95359 0.20669
75 11 22.13817 0.13563
75 12 26.06710 0.74966
76 1 2.96281 0.00000
76 2 3.31460 0.00001
76 3 5.12756 0.00016
76 4 6.95761 0.00012
76 5 7.40700 0.00015
76 6 14.66342 0.12693
76 7 19.45428 0.22664
76 8 19.64828 0.20749
76 9 19.82776 0.21456
76 10 19.94183 0.20719
76 11 22.34530 0.15423
76 12 25.93738 0.67434
77 1 3.24348 0.00000
77 2 3.63423 0.00001
77 3 5.64815 0.00025
77 4 6.85841 0.00011
77 5 7.30471 0.00015
77 6 14.29377 0.07193
77 7 19.53915 0.21996
77 8 19.65583 0.20819
77 9 19.83268 0.21299
77 10 19.92855 0.20579
77 11 22.56310 0.19446
77 12 25.80691 0.61801
78 1 3.52586 0.00000
78 2 3.93819 0.00001
78 3 6.19182 0.00039
78 4 6.74545 0.00011
78 5 7.18890 0.00014
78 6 13.89790 0.04472
78 7 19.60286 0.21265
78 8 19.66480 0.20713
78 9 19.83679 0.21275
78 10 19.91380 0.20429
78 11 22.78758 0.19627
78 12 25.67324 0.56558
79 1 3.80667 0.00000
79 2 4.22968 0.00002
79 3 6.61858 0.00010
79 4 6.74725 0.00056
79 5 7.06032 0.00013
79 6 13.47897 0.02988
