# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"Frequency (THz)" "kappa spec xx (W/mK/THz)" "kappa spec yy (W/mK/THz)" "kappa spec zz (W/mK/THz)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
6.83527 3.00414 3.00414 4.73347 40159.63899 40159.63899 67642.56258
6.86525 2.80407 2.80407 4.52523 40159.72305 40159.72305 67642.69825
6.89523 2.62288 2.62288 4.31945 40159.80168 40159.80168 67642.82774
6.92521 2.44696 2.44696 4.10527 40159.87504 40159.87504 67642.95081
6.95519 2.27988 2.27988 3.89656 40159.94339 40159.94339 67643.06763
6.98516 2.12213 2.12213 3.69863 40160.00701 40160.00701 67643.17851
7.01514 1.97410 1.97410 3.51296 40160.06619 40160.06619 67643.28383
7.04512 1.83891 1.83891 3.34748 40160.12132 40160.12132 67643.38418
7.07510 1.70918 1.70918 3.18734 40160.17256 40160.17256 67643.47974
7.10508 1.58236 1.58236 3.03036 40160.22000 40160.22000 67643.57058
7.13506 1.45711 1.45711 2.88026 40160.26368 40160.26368 67643.65693
7.16504 1.34313 1.34313 2.75701 40160.30395 40160.30395 67643.73959
7.19502 1.23432 1.23432 2.64286 40160.34095 40160.34095 67643.81882
7.22500 1.13332 1.13332 2.54673 40160.37493 40160.37493 67643.89517
7.25498 1.04402 1.04402 2.45507 40160.40623 40160.40623 67643.96877
7.28496 0.96403 0.96403 2.51541 40160.43513 40160.43513 67644.04418
7.31494 0.90346 0.90346 2.87252 40160.46221 40160.46221 67644.13029
7.34492 0.83741 0.83741 2.85011 40160.48732 40160.48732 67644.21574
7.37489 0.77347 0.77347 2.77115 40160.51051 40160.51050 67644.29881
7.40487 0.70706 0.70706 2.61754 40160.53170 40160.53170 67644.37729
7.43485 0.64801 0.64801 2.45316 40160.55113 40160.55113 67644.45083
7.46483 0.59515 0.59515 2.27734 40160.56897 40160.56897 67644.51910
7.49481 0.54624 0.54624 2.11316 40160.58535 40160.58535 67644.58245
7.52479 0.50238 0.50238 1.94661 40160.60041 40160.60041 67644.64081
7.55477 0.46052 0.46052 1.79361 40160.61422 40160.61421 67644.69458
7.58475 0.42269 0.42269 1.78687 40160.62689 40160.62689 67644.74815
7.61473 0.38967 0.38967 1.37949 40160.63857 40160.63857 67644.78951
7.64471 0.35938 0.35938 1.10306 40160.64934 40160.64934 67644.82258
7.67469 0.32939 0.32939 0.93358 40160.65922 40160.65922 67644.85056
7.70467 0.30211 0.30211 0.82414 40160.66828 40160.66827 67644.87527
7.73465 0.27682 0.27682 0.73611 40160.67657 40160.67657 67644.89734
7.76462 0.25438 0.25438 0.67000 40160.68420 40160.68420 67644.91743
7.79460 0.23226 0.23226 0.62203 40160.69116 40160.69116 67644.93607
7.82458 0.21108 0.21108 0.59388 40160.69749 40160.69749 67644.95388
7.85456 0.19147 0.19147 0.59605 40160.70323 40160.70323 67644.97175
7.88454 0.17332 0.17332 0.67083 40160.70843 40160.70843 67644.99186
7.91452 0.15654 0.15654 0.49194 40160.71312 40160.71312 67645.00661
7.94450 0.14647 0.14647 0.38967 40160.71751 40160.71751 67645.01829
7.97448 0.12962 0.12962 0.32409 40160.72140 40160.72140 67645.02800
8.00446 0.11778 0.11778 0.28813 40160.72493 40160.72493 67645.03664
8.03444 0.10747 0.10747 0.25961 40160.72815 40160.72815 67645.04442
8.06442 0.09877 0.09877 0.22609 40160.73111 40160.73111 67645.05120
8.09440 0.09083 0.09083 0.19967 40160.73383 40160.73383 67645.05719
8.12438 0.08359 0.08359 0.17736 40160.73634 40160.73634 67645.06251
8.15435 0.07689 0.07689 0.16098 40160.73865 40160.73864 67645.06733
8.18433 0.07095 0.07095 0.13976 40160.74077 40160.74077 67645.07152
8.21431 0.06545 0.06545 0.11815 40160.74273 40160.74273 67645.07506
8.24429 0.06048 0.06048 0.10531 40160.74455 40160.74455 67645.07822
8.27427 0.05574 0.05574 0.10494 40160.74622 40160.74622 67645.08137
8.30425 0.05114 0.05114 0.08646 40160.74775 40160.74775 67645.08396
8.33423 0.04653 0.04653 0.07445 40160.74915 40160.74914 67645.08619
8.36421 0.04246 0.04246 0.06615 40160.75042 40160.75042 67645.08817
8.39419 0.03819 0.03819 0.05904 40160.75156 40160.75156 67645.08994
8.42417 0.03432 0.03432 0.05357 40160.75259 40160.75259 67645.09155
8.45415 0.03069 0.03069 0.04827 40160.75351 40160.75351 67645.09300
8.48413 0.02759 0.02759 0.04416 40160.75434 40160.75434 67645.09432
8.51411 0.02502 0.02502 0.04046 40160.75509 40160.75509 67645.09553
8.54409 0.02268 0.02268 0.03592 40160.75577 40160.75577 67645.09661
8.57406 0.02071 0.02071 0.03219 40160.75639 40160.75639 67645.09758
8.60404 0.01905 0.01905 0.02895 40160.75696 40160.75696 67645.09844
8.63402 0.01765 0.01765 0.02648 40160.75749 40160.75749 67645.09924
8.66400 0.01638 0.01638 0.02395 40160.75798 40160.75798 67645.09996
8.69398 0.01511 0.01511 0.02155 40160.75844 40160.75843 67645.10060
8.72396 0.01391 0.01391 0.01925 40160.75885 40160.75885 67645.10118
8.75394 0.01278 0.01278 0.01731 40160.75924 40160.75923 67645.10170
8.78392 0.01177 0.01177 0.01568 40160.75959 40160.75959 67645.10217
8.81390 0.01077 0.01077 0.01421 40160.75991 40160.75991 67645.10259
8.84388 0.00977 0.00977 0.01288 40160.76020 40160.76020 67645.10298
8.87386 0.00887 0.00887 0.01154 40160.76047 40160.76047 67645.10333
8.90384 0.00801 0.00801 0.01041 40160.76071 40160.76071 67645.10364
8.93382 0.00717 0.00717 0.00931 40160.76093 40160.76092 67645.10392
8.96379 0.00644 0.00644 0.00837 40160.76112 40160.76112 67645.10417
8.99377 0.00574 0.00574 0.00754 40160.76129 40160.76129 67645.10439
9.02375 0.00517 0.00517 0.00680 40160.76145 40160.76144 67645.10460
9.05373 0.00467 0.00467 0.00614 40160.76159 40160.76158 67645.10478
9.08371 0.00424 0.00424 0.00554 40160.76171 40160.76171 67645.10495
9.11369 0.00387 0.00387 0.00497 40160.76183 40160.76183 67645.10510
9.14367 0.00354 0.00354 0.00450 40160.76193 40160.76193 67645.10523
9.17365 0.00327 0.00327 0.00404 40160.76203 40160.76203 67645.10535
9.20363 0.00300 0.00300 0.00364 40160.76212 40160.76212 67645.10546
9.23361 0.00277 0.00277 0.00327 40160.76221 40160.76220 67645.10556
9.26359 0.00254 0.00254 0.00294 40160.76228 40160.76228 67645.10565
9.29357 0.00233 0.00233 0.00264 40160.76235 40160.76235 67645.10573
9.32355 0.00210 0.00210 0.00233 40160.76241 40160.76241 67645.10580
9.35352 0.00190 0.00190 0.00210 40160.76247 40160.76247 67645.10586
9.38350 0.00170 0.00170 0.00187 40160.76252 40160.76252 67645.10592
9.41348 0.00147 0.00147 0.00167 40160.76257 40160.76256 67645.10597
9.44346 0.00127 0.00127 0.00150 40160.76260 40160.76260 67645.10601
9.47344 0.00113 0.00113 0.00133 40160.76264 40160.76264 67645.10605
9.50342 0.00100 0.00100 0.00120 40160.76267 40160.76267 67645.10609
9.53340 0.00090 0.00090 0.00107 40160.76270 40160.76269 67645.10612
9.56338 0.00080 0.00080 0.00097 40160.76272 40160.76272 67645.10615
9.59336 0.00073 0.00073 0.00087 40160.76274 40160.76274 67645.10617
9.62334 0.00067 0.00067 0.00077 40160.76276 40160.76276 67645.10620
9.65332 0.00060 0.00060 0.00067 40160.76278 40160.76278 67645.10622
9.68330 0.00053 0.00053 0.00060 40160.76280 40160.76279 67645.10623
9.71328 0.00047 0.00047 0.00050 40160.76281 40160.76281 67645.10625
9.74325 0.00040 0.00040 0.00047 40160.76282 40160.76282 67645.10626
