# freq[thz] kappa[W/m/K]
3.12383264 45.30931460
3.12683056 45.32884380
3.12982848 45.34844215
3.13282640 45.36811200
3.13582432 45.38785295
3.13882224 45.40765205
3.14182016 45.42749480
3.14481808 45.44737875
3.14781600 45.46730725
3.15081392 45.48727835
3.15381184 45.50729245
3.15680976 45.52734750
3.15980768 45.54743455
3.16280560 45.56755395
3.16580352 45.58771435
3.16880144 45.60792175
3.17179936 45.62817905
3.17479728 45.64848400
3.17779520 45.66882435
3.18079312 45.68920790
3.18379104 45.70965370
3.18678896 45.73016160
3.18978688 45.75073210
3.19278480 45.77135505
3.19578272 45.79200775
3.19878064 45.81268025
3.20177856 45.83337505
3.20477648 45.85409375
3.20777440 45.87484335
3.21077232 45.89561990
3.21377024 45.91642085
3.21676816 45.93726460
3.21976608 45.95818985
3.22276400 45.97923585
3.22576192 46.00042445
3.22875984 46.02177195
3.23175776 46.04327380
3.23475568 46.06491465
3.23775360 46.08668060
3.24075152 46.10856655
3.24374944 46.13056910
3.24674736 46.15268645
3.24974528 46.17490850
3.25274320 46.19722015
3.25574112 46.21960590
3.25873904 46.24205660
3.26173696 46.26457320
3.26473488 46.28715160
3.26773280 46.30979320
3.27073072 46.33248775
3.27372864 46.35522035
3.27672656 46.37798955
3.27972448 46.40079740
3.28272240 46.42365105
3.28572032 46.44655670
3.28871824 46.46950155
3.29171616 46.49246350
3.29471408 46.51543980
3.29771200 46.53843390
3.30070992 46.56144670
3.30370784 46.58449555
3.30670576 46.60756890
3.30970368 46.63063590
3.31270160 46.65369300
3.31569952 46.67674705
3.31869744 46.69979390
3.32169536 46.72285090
3.32469328 46.74594160
3.32769120 46.76904440
3.33068912 46.79213370
3.33368704 46.81521095
3.33668496 46.83828370
3.33968288 46.86135460
3.34268080 46.88442370
3.34567872 46.90749015
3.34867664 46.93054140
3.35167456 46.95355800
3.35467248 46.97653420
3.35767040 46.99947970
3.36066832 47.02240450
3.36366624 47.04531140
3.36666416 47.06818520
3.36966208 47.09101220
3.37266000 47.11380640
3.37565792 47.13658040
3.37865584 47.15934160
3.38165376 47.18209385
3.38465168 47.20482200
3.38764960 47.22750015
3.39064752 47.25012310
3.39364544 47.27269415
3.39664336 47.29522220
3.39964128 47.31771955
3.40263920 47.34016245
3.40563712 47.36252590
3.40863504 47.38482155
3.41163296 47.40706180
